id,user_id,title,description,awarded_by,awarded_at,certificate_url,created_at,updated_at
ach1,u1,AWS Solutions Architect Associate,Successfully passed AWS Solutions Architect Associate certification exam. Demonstrated expertise in designing distributed systems on AWS.,Amazon Web Services,2023-08-15,https://aws.amazon.com/verification/cert-u1-2023,2024-09-01T11:15:00Z,2024-09-01T11:15:00Z
ach2,u1,Employee of the Quarter,Recognized for exceptional contributions to the frontend architecture redesign project. Improved application performance by 40%.,TechCorp,2024-06-30,https://techcorp.com/awards/u1-q2-2024,2024-09-01T11:20:00Z,2024-09-01T11:20:00Z
ach3,u1,Open Source Contributor,Made significant contributions to React ecosystem. Merged 15+ pull requests into popular open source libraries.,GitHub,2024-01-20,,2024-09-01T11:25:00Z,2024-09-01T11:25:00Z
ach4,u2,NeurIPS Conference Paper,Research paper on fairness in machine learning accepted at NeurIPS 2023. Presented to international audience of 5000+ researchers.,NeurIPS Conference,2023-12-10,https://neurips.cc/Proceedings/2023/papers/u2,2024-09-05T12:15:00Z,2024-09-05T12:15:00Z
ach5,u2,Kaggle Competition Bronze,Achieved top 3% ranking in Kaggle's image segmentation competition. Competed against 2000+ data scientists worldwide.,Kaggle,2024-08-25,https://kaggle.com/competitions/certificates/u2,2024-09-05T12:20:00Z,2024-09-05T12:20:00Z
ach6,u2,Outstanding TA Award,Recognized as Outstanding Teaching Assistant for Advanced Machine Learning course. Highest student evaluations.,State University,2024-05-15,https://university.edu/ta-awards/2024/u2,2024-09-05T12:25:00Z,2024-09-05T12:25:00Z
ach7,u3,UX Design Excellence Award,Won company-wide design award for user interface redesign that increased conversions by 45%.,StartupCo,2021-12-15,https://startupco.com/awards/design-2021,2024-09-10T13:15:00Z,2024-09-10T13:15:00Z
ach8,u3,Adobe Certified Professional,Earned Adobe Certified Professional certification in Adobe XD. Demonstrated mastery of prototyping and design systems.,Adobe,2022-03-20,https://adobe.com/certifications/u3,2024-09-10T13:20:00Z,2024-09-10T13:20:00Z
ach9,u3,Dribbble Top Designer,Featured as one of Dribbble's top designers of the month. Design work viewed by 100k+ people.,Dribbble,2023-07-01,https://dribbble.com/awards/top-designer-u3,2024-09-10T13:25:00Z,2024-09-10T13:25:00Z
ach10,u4,AWS Solutions Architect Professional,Achieved highest level AWS architecture certification. Expert in designing complex cloud infrastructures.,Amazon Web Services,2024-06-10,https://aws.amazon.com/verification/cert-u4-2024,2024-09-15T14:15:00Z,2024-09-15T14:15:00Z
ach11,u4,Certified Kubernetes Administrator,Passed rigorous CKA exam demonstrating expertise in Kubernetes cluster management and operations.,Cloud Native Computing Foundation,2021-08-25,https://cncf.io/certification/verify/u4,2024-09-15T14:20:00Z,2024-09-15T14:20:00Z
ach12,u4,Architecture Innovation Award,Recognized for innovative microservices architecture that reduced infrastructure costs by 35%.,CloudTech,2023-11-30,https://cloudtech.com/innovation-awards/2023,2024-09-15T14:25:00Z,2024-09-15T14:25:00Z
ach13,u6,React Native Conference Speaker,Invited speaker at React Native EU 2024. Presentation on performance optimization viewed by 5000+ developers.,React Native EU,2024-04-15,https://react-native.eu/speakers/2024/u6,2024-09-20T15:15:00Z,2024-09-20T15:15:00Z
ach14,u6,App Store Featured,Fitness tracking app featured on App Store's 'Apps We Love' list. Resulted in 50k+ new downloads.,Apple,2024-07-01,https://apps.apple.com/featured/u6,2024-09-20T15:20:00Z,2024-09-20T15:20:00Z
ach15,u7,Best Paper Award,Received Best Paper Award at International Conference on AI Ethics for groundbreaking research on bias detection.,AI Ethics Conference,2024-11-05,https://aiethics.org/awards/best-paper-2024,2024-11-10T16:00:00Z,2024-11-10T16:00:00Z
ach16,u7,Outstanding Researcher Award,Recognized as Outstanding Graduate Researcher for exceptional contributions to machine learning fairness.,State University,2024-03-20,https://university.edu/research-awards/2024,2024-09-25T16:20:00Z,2024-09-25T16:20:00Z
ach17,u7,NSF Graduate Fellowship,Awarded prestigious National Science Foundation Graduate Research Fellowship for AI research excellence.,National Science Foundation,2021-04-15,https://nsf.gov/fellowships/u7,2024-09-25T16:25:00Z,2024-09-25T16:25:00Z
