id,user_id,name,description,technologies,link,completed_at,created_at,updated_at
pp1,u1,E-Commerce Platform,Full-stack e-commerce platform with real-time inventory management and payment processing. Built for a local business with 10k+ monthly users.,"[""React"", ""Node.js"", ""PostgreSQL"", ""Stripe"", ""AWS""]",https://github.com/alice-codes/ecommerce,2024-06,2024-09-01T10:30:00Z,2024-09-01T10:30:00Z
pp2,u1,Real-Time Chat Application,Scalable chat application supporting group conversations, file sharing, and video calls. Used WebSocket for real-time communication.,"[""React"", ""Socket.io"", ""Express"", ""MongoDB"", ""WebRTC""]",https://github.com/alice-codes/chat-app,2024-03,2024-09-01T10:35:00Z,2024-09-01T10:35:00Z
pp3,u2,Image Classification Model,Deep learning model for medical image classification achieving 94% accuracy. Trained on 50k+ labeled images using transfer learning.,"[""Python"", ""TensorFlow"", ""Keras"", ""OpenCV"", ""Flask""]",https://github.com/bobsmith-dev/image-classifier,2024-08,2024-09-05T11:30:00Z,2024-09-05T11:30:00Z
pp4,u2,Sentiment Analysis API,REST API for sentiment analysis supporting multiple languages. Processes 1000+ requests per minute with 89% accuracy.,"[""Python"", ""FastAPI"", ""BERT"", ""Docker"", ""Redis""]",https://github.com/bobsmith-dev/sentiment-api,2024-11,2024-09-05T11:35:00Z,2024-09-05T11:35:00Z
pp5,u3,Design System Library,Comprehensive UI component library with 50+ components. Used by 3 production applications with extensive documentation.,"[""React"", ""TypeScript"", ""Storybook"", ""Tailwind CSS""]",https://github.com/carol-designs/ui-library,2024-05,2024-09-10T12:30:00Z,2024-09-10T12:30:00Z
pp6,u3,Portfolio Website Builder,Drag-and-drop portfolio builder for designers. Allows customization without coding and exports to static HTML/CSS.,"[""React"", ""Next.js"", ""Framer Motion"", ""Vercel""]",https://portfoliobuilder.caroldesigns.com,2024-09,2024-09-10T12:35:00Z,2024-09-10T12:35:00Z
pp7,u4,Microservices Architecture,Production-ready microservices architecture handling 100k daily active users. Implements event sourcing and CQRS patterns.,"[""Java"", ""Spring Boot"", ""Kafka"", ""Kubernetes"", ""PostgreSQL""]",https://github.com/davidlee-tech/microservices,2024-07,2024-09-15T13:30:00Z,2024-09-15T13:30:00Z
pp8,u4,Infrastructure as Code,Terraform modules for deploying scalable cloud infrastructure. Includes auto-scaling, monitoring, and disaster recovery.,"[""Terraform"", ""AWS"", ""Ansible"", ""Prometheus"", ""Grafana""]",https://github.com/davidlee-tech/iac-modules,2024-10,2024-09-15T13:35:00Z,2024-09-15T13:35:00Z
pp9,u6,Fitness Tracking App,Cross-platform mobile app for workout tracking with AI-powered exercise recognition. 5k+ downloads on app stores.,"[""React Native"", ""Firebase"", ""TensorFlow Lite"", ""Redux""]",https://github.com/frank-dev/fitness-tracker,2024-04,2024-09-20T14:30:00Z,2024-09-20T14:30:00Z
pp10,u6,Recipe Sharing Platform,Social platform for sharing and discovering recipes. Includes meal planning and grocery list features.,"[""Flutter"", ""Firebase"", ""Cloud Functions"", ""Algolia""]",https://recipeapp.frankmartinez.app,2024-12,2024-09-20T14:35:00Z,2024-09-20T14:35:00Z
pp11,u7,Autonomous Drone Navigation,Computer vision system for autonomous drone navigation using deep reinforcement learning. Published in IEEE conference.,"[""Python"", ""PyTorch"", ""OpenCV"", ""ROS"", ""Gazebo""]",https://github.com/grace-ml/drone-nav,2024-02,2024-09-25T15:30:00Z,2024-09-25T15:30:00Z
pp12,u7,Recommendation System,Collaborative filtering recommendation engine for e-learning platform. Improved user engagement by 35%.,"[""Python"", ""scikit-learn"", ""Apache Spark"", ""Airflow""]",https://github.com/grace-ml/recommender,2024-06,2024-09-25T15:35:00Z,2024-09-25T15:35:00Z
