id,name,type,subject,uploaded_by,uploaded_at,url,thumbnail,size,ai_summary,ai_key_points,created_at,updated_at
sm1,Introduction to Neural Networks,PDF,Artificial Intelligence,u7,2024-11-15T10:30:00Z,https://storage.example.com/neural-networks.pdf,https://via.placeholder.com/150,2.4 MB,"Comprehensive introduction to neural network architectures covering perceptrons, backpropagation, and deep learning fundamentals. Excellent resource for beginners with clear diagrams and examples.","[""Neural networks are inspired by biological neurons"", ""Backpropagation is key to training deep networks"", ""Activation functions introduce non-linearity"", ""Gradient descent optimizes network weights""]",2024-11-15T10:30:00Z,2024-11-15T10:30:00Z
sm2,Advanced React Patterns,Video,Web Development,u1,2024-11-20T14:00:00Z,https://youtube.com/watch?v=example,https://img.youtube.com/vi/example/0.jpg,Video,"Deep dive into advanced React patterns including compound components, render props, and custom hooks. Great for intermediate to advanced developers.","{""Key concepts"": [""Compound components pattern"", ""Higher-order components (HOC)"", ""Render props technique"", ""Custom hooks for logic reuse""]}",2024-11-20T14:00:00Z,2024-11-20T14:00:00Z
sm3,Linear Algebra Fundamentals,PDF,Mathematics,u2,2024-11-25T09:15:00Z,https://storage.example.com/linear-algebra.pdf,https://via.placeholder.com/150,3.1 MB,"Essential linear algebra concepts for machine learning including matrices, vectors, eigenvalues, and transformations. Includes practice problems and solutions.","[""Matrices represent linear transformations"", ""Eigenvalues reveal important matrix properties"", ""Vector spaces form foundation of ML"", ""Matrix decomposition enables efficient computation""]",2024-11-25T09:15:00Z,2024-11-25T09:15:00Z
sm4,Cloud Architecture Best Practices,Document,Cloud Computing,u4,2024-12-01T11:30:00Z,https://docs.example.com/cloud-arch,https://via.placeholder.com/150,1.8 MB,"Guide to designing scalable and resilient cloud architectures using AWS, Azure, and GCP. Covers microservices, serverless, and containerization.","[""Microservices enable independent scaling"", ""Serverless reduces operational overhead"", ""Container orchestration simplifies deployment"", ""Multi-cloud strategy improves resilience""]",2024-12-01T11:30:00Z,2024-12-01T11:30:00Z
sm5,Quantum Computing Basics,PDF,Physics,u7,2024-12-05T15:45:00Z,https://storage.example.com/quantum-computing.pdf,https://via.placeholder.com/150,2.9 MB,"Introduction to quantum computing principles including qubits, superposition, and entanglement. Accessible explanations with minimal mathematical prerequisites.","[""Qubits can exist in superposition states"", ""Quantum entanglement enables powerful computations"", ""Quantum algorithms offer exponential speedups"", ""Quantum error correction is crucial for stability""]",2024-12-05T15:45:00Z,2024-12-05T15:45:00Z
sm6,Data Visualization with D3.js,Video,Data Science,u3,2024-12-10T13:20:00Z,https://vimeo.com/example,https://via.placeholder.com/150,Video,"Tutorial series on creating interactive data visualizations using D3.js. Covers scales, axes, transitions, and real-world examples.","{""Topics covered"": [""D3 selections and data binding"", ""SVG and canvas rendering"", ""Interactive charts and graphs"", ""Responsive visualization design""]}",2024-12-10T13:20:00Z,2024-12-10T13:20:00Z
sm7,Algorithm Design and Analysis,PDF,Computer Science,u2,2024-12-15T16:00:00Z,https://storage.example.com/algorithms.pdf,https://via.placeholder.com/150,4.2 MB,"Comprehensive guide to algorithm design techniques including divide-and-conquer, dynamic programming, and greedy algorithms. Includes complexity analysis.","[""Big-O notation measures algorithm efficiency"", ""Dynamic programming optimizes overlapping subproblems"", ""Greedy algorithms make locally optimal choices"", ""Graph algorithms solve connectivity problems""]",2024-12-15T16:00:00Z,2024-12-15T16:00:00Z
sm8,Natural Language Processing,Presentation,Artificial Intelligence,u1,2024-12-20T10:45:00Z,https://slides.example.com/nlp,https://via.placeholder.com/150,856 KB,"Slide deck covering NLP fundamentals including tokenization, embeddings, transformers, and applications like sentiment analysis and machine translation.","[""Tokenization breaks text into meaningful units"", ""Word embeddings capture semantic relationships"", ""Transformers revolutionized NLP with attention"", ""Pre-trained models enable transfer learning""]",2024-12-20T10:45:00Z,2024-12-20T10:45:00Z
sm9,Database Systems Design,PDF,Computer Science,u4,2025-01-05T09:30:00Z,https://storage.example.com/databases.pdf,https://via.placeholder.com/150,3.5 MB,"In-depth coverage of relational and NoSQL database systems, normalization, indexing, and query optimization. Practical examples included.","[""Normalization reduces data redundancy"", ""Indexes speed up query performance"", ""ACID properties ensure data consistency"", ""NoSQL databases scale horizontally""]",2025-01-05T09:30:00Z,2025-01-05T09:30:00Z
sm10,Statistical Learning Theory,Video,Machine Learning,u7,2025-01-10T14:15:00Z,https://youtube.com/watch?v=stats,https://img.youtube.com/vi/stats/0.jpg,Video,"Lecture series on statistical foundations of machine learning including bias-variance tradeoff, regularization, and model selection.","{""Core concepts"": [""Bias-variance tradeoff in model complexity"", ""Regularization prevents overfitting"", ""Cross-validation for model assessment"", ""Ensemble methods improve predictions""]}",2025-01-10T14:15:00Z,2025-01-10T14:15:00Z
