id,project_id,name,assigned_to,status,deadline,created_at,updated_at
t1,p1,Design NLP model architecture,u2,Completed,2024-09-15,2024-09-01T08:30:00Z,2024-09-14T16:00:00Z
t2,p1,Implement text summarization feature,u7,Completed,2024-09-30,2024-09-15T09:00:00Z,2024-09-28T14:30:00Z
t3,p1,Build recommendation engine,u1,In Progress,2026-01-20,2024-10-01T10:00:00Z,2026-01-10T11:00:00Z
t4,p1,Create user interface mockups,u2,In Progress,2026-01-25,2024-10-05T11:00:00Z,2026-01-08T09:30:00Z
t5,p1,Conduct user testing sessions,u1,Pending,2026-02-05,2024-10-10T12:00:00Z,2024-10-10T12:00:00Z
t6,p2,Set up backend API,u4,Completed,2024-09-10,2024-08-15T10:00:00Z,2024-09-09T15:00:00Z
t7,p2,Design database schema,u4,Completed,2024-09-05,2024-08-15T10:30:00Z,2024-09-04T16:30:00Z
t8,p2,Implement event registration,u6,Completed,2024-10-15,2024-09-10T11:00:00Z,2024-10-14T14:00:00Z
t9,p2,Create admin dashboard,u3,Completed,2024-11-01,2024-10-01T12:00:00Z,2024-10-30T17:00:00Z
t10,p2,Deploy to production,u4,Completed,2024-12-01,2024-11-15T13:00:00Z,2024-11-28T16:00:00Z
t11,p3,Collect campus energy data,u2,Completed,2024-11-15,2024-10-20T10:30:00Z,2024-11-14T15:00:00Z
t12,p3,Analyze carbon footprint,u7,In Progress,2026-01-30,2024-11-16T11:00:00Z,2026-01-05T10:00:00Z
t13,p3,Create data visualizations,u2,Pending,2026-02-15,2024-12-01T12:00:00Z,2024-12-01T12:00:00Z
t14,p5,Research blockchain frameworks,u4,Completed,2024-10-20,2024-09-25T13:30:00Z,2024-10-18T16:00:00Z
t15,p5,Develop smart contracts,u1,In Progress,2026-01-28,2024-10-21T14:00:00Z,2026-01-09T13:00:00Z
t16,p5,Implement credential verification,u2,In Progress,2026-02-10,2024-11-01T15:00:00Z,2026-01-07T11:30:00Z
t17,p5,Security audit and testing,u4,Pending,2026-02-28,2024-11-15T16:00:00Z,2024-11-15T16:00:00Z
t18,p6,Design VR chemistry experiments,u3,In Progress,2026-01-22,2024-10-05T14:45:00Z,2026-01-06T14:00:00Z
t19,p6,Build physics simulations,u7,In Progress,2026-02-05,2024-10-12T15:00:00Z,2026-01-04T10:30:00Z
t20,p6,Optimize VR performance,u6,Pending,2026-02-20,2024-10-20T16:00:00Z,2024-10-20T16:00:00Z
