group_id,student_id,joined_at
sg1,u7,2024-09-01T10:00:00Z
sg1,u2,2024-09-02T09:30:00Z
sg1,u1,2024-09-03T14:00:00Z
sg1,u4,2024-09-10T11:00:00Z
sg2,u1,2024-09-15T11:30:00Z
sg2,u3,2024-09-16T10:00:00Z
sg2,u6,2024-09-18T13:00:00Z
sg2,u4,2024-09-20T15:30:00Z
sg3,u2,2024-10-01T09:00:00Z
sg3,u7,2024-10-02T10:30:00Z
sg3,u4,2024-10-05T14:00:00Z
sg4,u2,2024-10-10T14:00:00Z
sg4,u7,2024-10-11T09:00:00Z
sg4,u3,2024-10-15T11:30:00Z
sg5,u4,2024-10-20T15:30:00Z
sg5,u1,2024-10-22T10:00:00Z
sg5,u6,2024-10-25T13:00:00Z
sg6,u7,2024-11-01T13:00:00Z
sg6,u3,2024-11-03T14:30:00Z
sg6,u2,2024-11-08T16:00:00Z
