id,user_id,name,category,level,learned_at,created_at,updated_at
sk1,u1,React,Frontend,Expert,2022-03,2024-09-01T10:00:00Z,2024-09-01T10:00:00Z
sk2,u1,Node.js,Backend,Advanced,2022-06,2024-09-01T10:05:00Z,2024-09-01T10:05:00Z
sk3,u1,TypeScript,Languages,Expert,2022-08,2024-09-01T10:10:00Z,2024-09-01T10:10:00Z
sk4,u1,PostgreSQL,Database,Advanced,2023-01,2024-09-01T10:15:00Z,2024-09-01T10:15:00Z
sk5,u1,AWS,Cloud,Advanced,2023-04,2024-09-01T10:20:00Z,2024-09-01T10:20:00Z
sk6,u2,Python,Languages,Expert,2021-09,2024-09-05T11:00:00Z,2024-09-05T11:00:00Z
sk7,u2,TensorFlow,AI/ML,Advanced,2022-05,2024-09-05T11:05:00Z,2024-09-05T11:05:00Z
sk8,u2,PyTorch,AI/ML,Advanced,2022-11,2024-09-05T11:10:00Z,2024-09-05T11:10:00Z
sk9,u2,scikit-learn,AI/ML,Expert,2022-03,2024-09-05T11:15:00Z,2024-09-05T11:15:00Z
sk10,u2,SQL,Database,Advanced,2021-06,2024-09-05T11:20:00Z,2024-09-05T11:20:00Z
sk11,u3,Figma,Design,Expert,2021-01,2024-09-10T12:00:00Z,2024-09-10T12:00:00Z
sk12,u3,Adobe XD,Design,Advanced,2021-04,2024-09-10T12:05:00Z,2024-09-10T12:05:00Z
sk13,u3,CSS/Tailwind,Frontend,Expert,2020-08,2024-09-10T12:10:00Z,2024-09-10T12:10:00Z
sk14,u3,JavaScript,Languages,Advanced,2020-10,2024-09-10T12:15:00Z,2024-09-10T12:15:00Z
sk15,u4,Java,Languages,Expert,2020-05,2024-09-15T13:00:00Z,2024-09-15T13:00:00Z
sk16,u4,Spring Boot,Backend,Advanced,2021-02,2024-09-15T13:05:00Z,2024-09-15T13:05:00Z
sk17,u4,Docker,DevOps,Expert,2021-08,2024-09-15T13:10:00Z,2024-09-15T13:10:00Z
sk18,u4,Kubernetes,DevOps,Advanced,2022-01,2024-09-15T13:15:00Z,2024-09-15T13:15:00Z
sk19,u4,AWS,Cloud,Expert,2022-06,2024-09-15T13:20:00Z,2024-09-15T13:20:00Z
sk20,u6,React Native,Mobile,Advanced,2022-03,2024-09-20T14:00:00Z,2024-09-20T14:00:00Z
sk21,u6,Flutter,Mobile,Advanced,2022-09,2024-09-20T14:05:00Z,2024-09-20T14:05:00Z
sk22,u6,Swift,Languages,Intermediate,2023-02,2024-09-20T14:10:00Z,2024-09-20T14:10:00Z
sk23,u6,Firebase,Backend,Advanced,2022-06,2024-09-20T14:15:00Z,2024-09-20T14:15:00Z
sk24,u7,Python,Languages,Expert,2020-01,2024-09-25T15:00:00Z,2024-09-25T15:00:00Z
sk25,u7,Deep Learning,AI/ML,Expert,2021-03,2024-09-25T15:05:00Z,2024-09-25T15:05:00Z
sk26,u7,NLP,AI/ML,Advanced,2021-09,2024-09-25T15:10:00Z,2024-09-25T15:10:00Z
sk27,u7,Computer Vision,AI/ML,Advanced,2022-02,2024-09-25T15:15:00Z,2024-09-25T15:15:00Z
sk28,u7,R,Languages,Intermediate,2020-06,2024-09-25T15:20:00Z,2024-09-25T15:20:00Z
